season,fixture_id,round,date,status,home_team,home_goals,away_goals,away_team
2024,1180386,Regular Season - 4,2024-04-28T19:00:00+00:00,FT,Cruzeiro,3,1,Vitoria
2024,1180394,Regular Season - 4,2024-04-28T21:30:00+00:00,FT,Juventude,1,1,Atletico Paranaense
2024,1180392,Regular Season - 4,2024-04-28T21:30:00+00:00,FT,Fortaleza EC,1,1,RB Bragantino
2024,1180385,Regular Season - 4,2024-04-28T23:00:00+00:00,FT,Internacional,1,1,Atletico Goianiense
2024,1180391,Regular Season - 4,2024-04-29T23:00:00+00:00,FT,Sao Paulo,0,0,Palmeiras
2024,1180398,Regular Season - 5,2024-05-04T19:00:00+00:00,FT,Fluminense,2,2,Atletico-MG
2024,1180401,Regular Season - 5,2024-05-04T21:30:00+00:00,FT,RB Bragantino,1,1,Flamengo
2024,1180400,Regular Season - 5,2024-05-05T00:00:00+00:00,FT,Corinthians,0,0,Fortaleza EC
2024,1180402,Regular Season - 5,2024-05-05T19:00:00+00:00,FT,Atletico Paranaense,1,0,Vasco DA Gama
2024,1180397,Regular Season - 5,2024-05-05T19:00:00+00:00,FT,Vitoria,1,3,Sao Paulo
2024,1180399,Regular Season - 5,2024-05-05T21:30:00+00:00,FT,Botafogo,1,2,Bahia
2024,1180403,Regular Season - 5,2024-05-05T21:30:00+00:00,FT,Cuiaba,0,2,Palmeiras
2024,1180408,Regular Season - 6,2024-05-11T19:00:00+00:00,FT,Flamengo,2,0,Corinthians
2024,1180410,Regular Season - 6,2024-05-12T19:00:00+00:00,FT,Palmeiras,0,2,Atletico Paranaense
2024,1180413,Regular Season - 6,2024-05-12T19:00:00+00:00,FT,Atletico Goianiense,0,1,Cruzeiro
2024,1180412,Regular Season - 6,2024-05-12T19:00:00+00:00,FT,Fortaleza EC,1,1,Botafogo
2024,1180407,Regular Season - 6,2024-05-12T21:30:00+00:00,FT,Bahia,1,0,RB Bragantino
2024,1180409,Regular Season - 6,2024-05-12T21:30:00+00:00,FT,Vasco DA Gama,2,1,Vitoria
2024,1180411,Regular Season - 6,2024-05-13T23:00:00+00:00,FT,Sao Paulo,2,1,Fluminense
2024,1180415,Regular Season - 7,2024-06-01T19:00:00+00:00,FT,Gremio,0,2,RB Bragantino
